Date;Time;Latitude;Longitude;Altitude;Sat;RSSI
200325;174928;4821.46955N;00434.13750W;00093;04*044
200325;174931;4821.47055N;00434.13760W;00098;04*043
200325;174934;4821.47011N;00434.13820W;00100;04*043
200325;174937;4821.47122N;00434.13770W;00093;04*044
200325;174940;4821.47544N;00434.14330W;00080;04*044
200325;174943;4821.47477N;00434.14220W;00080;04*043
200325;174946;4821.47188N;00434.13900W;00084;04*044
200325;174949;4821.47633N;00434.14140W;00079;04*044
200325;174952;4821.47744N;00434.14120W;00086;04*044
200325;174955;4821.47788N;00434.14190W;00085;04*043
200325;174958;4821.47799N;00434.14130W;00086;04*043
200325;175001;4821.47777N;00434.14140W;00086;04*044
200325;175004;4821.47777N;00434.14140W;00086;04*043
200325;175007;4821.47777N;00434.14140W;00087;04*043
200325;175010;4821.47777N;00434.14140W;00087;04*044
200325;175013;4821.47777N;00434.14140W;00086;04*043
200325;175016;4821.47777N;00434.14140W;00084;04*043
200325;175019;4821.47777N;00434.14140W;00082;04*044
200325;175022;4821.47777N;00434.14140W;00081;05*044
200325;175025;4821.47777N;00434.14140W;00081;05*042
200325;175028;4821.47777N;00434.14140W;00080;05*043
200325;175031;4821.47777N;00434.14140W;00080;05*043
200325;175034;4821.47777N;00434.14140W;00080;05*043
200325;175037;4821.47777N;00434.14140W;00080;05*042
200325;175040;4821.47777N;00434.14140W;00080;05*046
200325;175043;4821.47777N;00434.14140W;00080;05*043
200325;175046;4821.47777N;00434.14140W;00080;05*042
200325;175049;4821.47777N;00434.14140W;00080;05*044
200325;175052;4821.47777N;00434.14140W;00079;05*043
200325;175055;4821.47777N;00434.14140W;00079;05*043
200325;175058;4821.47777N;00434.14140W;00079;05*044
200325;175101;4821.47777N;00434.14140W;00079;05*044
200325;175104;4821.47777N;00434.14140W;00079;05*043
200325;175107;4821.47777N;00434.14140W;00079;05*044
200325;175110;4821.47777N;00434.14140W;00079;05*044
200325;175113;4821.47777N;00434.14140W;00079;05*043
200325;175116;4821.47777N;00434.14140W;00079;05*043
200325;175119;4821.47777N;00434.14140W;00078;05*044
200325;175122;4821.47777N;00434.14140W;00078;05*043
200325;175125;4821.47777N;00434.14140W;00078;05*043
200325;175128;4821.47777N;00434.14140W;00078;05*046
200325;175131;4821.47777N;00434.14140W;00078;05*043
200325;175134;4821.47777N;00434.14140W;00078;05*044
200325;175137;4821.47777N;00434.14140W;00078;05*043
200325;175140;4821.47777N;00434.14140W;00078;05*043
200325;175143;4821.47777N;00434.14140W;00078;05*043
200325;175146;4821.47777N;00434.14140W;00077;05*044
200325;175149;4821.47777N;00434.14140W;00077;05*044
200325;175152;4821.47777N;00434.14140W;00077;05*043
200325;175155;4821.47777N;00434.14140W;00077;05*044
200325;175158;4821.47777N;00434.14140W;00077;05*045
200325;175201;4821.47777N;00434.14140W;00077;05*045
200325;175204;4821.47777N;00434.14140W;00077;05*044
200325;175207;4821.47777N;00434.14140W;00076;05*044
200325;175210;4821.47777N;00434.14140W;00076;05*044
200325;175213;4821.47777N;00434.14140W;00076;05*043
200325;175216;4821.47777N;00434.14140W;00076;05*044
200325;175219;4821.47777N;00434.14140W;00076;05*043
200325;175222;4821.47777N;00434.14140W;00075;05*043
200325;175225;4821.47777N;00434.14140W;00075;05*044
200325;175228;4821.47777N;00434.14140W;00075;05*042
200325;175231;4821.47777N;00434.14140W;00075;05*043
200325;175234;4821.47777N;00434.14140W;00074;05*043
200325;175237;4821.47777N;00434.14140W;00074;05*043
200325;175240;4821.47777N;00434.14140W;00074;05*043
200325;175243;4821.47777N;00434.14140W;00074;05*044
200325;175246;4821.47777N;00434.14140W;00074;05*043
200325;175249;4821.47777N;00434.14140W;00074;05*043
200325;175252;4821.47777N;00434.14140W;00074;05*043
200325;175255;4821.47777N;00434.14140W;00073;05*043
200325;175258;4821.47777N;00434.14140W;00073;05*044
200325;175301;4821.47777N;00434.14140W;00073;05*044
200325;175304;4821.47777N;00434.14140W;00073;05*045
200325;175307;4821.47777N;00434.14140W;00073;05*043
200325;175310;4821.47777N;00434.14140W;00073;05*043
200325;175313;4821.47777N;00434.14140W;00073;05*044
200325;175316;4821.47777N;00434.14140W;00073;05*043
200325;175319;4821.47777N;00434.14140W;00073;05*044
200325;175322;4821.47777N;00434.14140W;00073;05*044
200325;175325;4821.47777N;00434.14140W;00073;05*043
200325;175328;4821.47777N;00434.14140W;00073;05*043
200325;175331;4821.47777N;00434.14140W;00073;05*044
200325;175334;4821.47777N;00434.14140W;00073;05*044
200325;175337;4821.47777N;00434.14140W;00073;05*043
200325;175340;4821.47777N;00434.14140W;00073;05*043
200325;175343;4821.47777N;00434.14140W;00073;05*043
200325;175346;4821.47777N;00434.14140W;00073;05*044
200325;175349;4821.47777N;00434.14140W;00073;05*044
200325;175353;4821.47777N;00434.14140W;00073;06*044
200325;175356;4821.47777N;00434.14140W;00073;06*044
200325;175359;4821.47777N;00434.14140W;00073;06*043
200325;175402;4821.47777N;00434.14140W;00073;06*043
